Id,FiscalYear,FiscalPeriod,Month,InformationDate,Branch,Service,SscClient,MetricName,Value,MetricType
6881,2020-2021,8,November,11/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),155.7,Non Cumulative
6882,2020-2021,8,November,11/30/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
6883,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6884,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),205.3,Non Cumulative
6885,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
6886,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6887,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
6888,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
6889,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
6890,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
6891,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1111.68,Non Cumulative
6892,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
6893,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),158.7,Non Cumulative
6894,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6895,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),479,Non Cumulative
6896,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
6897,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
6898,2020-2021,9,"December ",12/31/2020,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6899,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6900,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6901,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
6902,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
6903,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
6904,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6905,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
6906,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
6907,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
6908,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6909,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),479,Non Cumulative
6910,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
6911,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),207,Non Cumulative
6912,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
6913,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),153.5,Non Cumulative
6914,2020-2021,10,"January ",1/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1111.68,Non Cumulative
6915,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1116,Non Cumulative
6916,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),247,Non Cumulative
6917,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6918,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
6919,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
6920,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),146,Non Cumulative
6921,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
6922,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6923,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
6924,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
6925,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6926,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
6927,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
6928,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
6929,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6930,2020-2021,11,"February ",2/28/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),479,Non Cumulative
6931,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
6932,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6933,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6934,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),226,Non Cumulative
6935,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6936,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),490,Non Cumulative
6937,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
6938,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1116,Non Cumulative
6939,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),150,Non Cumulative
6940,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
6941,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
6942,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
6943,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
6944,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
6945,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
6946,2020-2021,12,March,3/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6947,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
6948,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6949,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
6950,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
6951,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
6952,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6953,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
6954,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
6955,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6956,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1100,Non Cumulative
6957,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),240,Non Cumulative
6958,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),800,Non Cumulative
6959,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),154,Non Cumulative
6960,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
6961,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),518,Non Cumulative
6962,2021-2022,1,April,4/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6963,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),230,Non Cumulative
6964,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
6965,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6966,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),523,Non Cumulative
6967,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1069,Non Cumulative
6968,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
6969,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6970,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
6971,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
6972,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
6973,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6974,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
6975,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6976,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
6977,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),1000,Non Cumulative
6978,2021-2022,2,May,5/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),245.4,Non Cumulative
6979,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
6980,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),1000,Non Cumulative
6981,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6982,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
6983,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
6984,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1073,Non Cumulative
6985,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
6986,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
6987,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),266,Non Cumulative
6988,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6989,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),523,Non Cumulative
6990,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
6991,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1000,Non Cumulative
6992,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6993,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),249,Non Cumulative
6994,2021-2022,3,June,6/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6995,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
6996,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
6997,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
6998,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),523,Non Cumulative
6999,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),1300,Non Cumulative
7000,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7001,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1068,Non Cumulative
7002,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
7003,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
7004,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7005,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),286,Non Cumulative
7006,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1250,Non Cumulative
7007,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),267,Non Cumulative
7008,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
7009,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
7010,2021-2022,4,July,7/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7011,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7012,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1250,Non Cumulative
7013,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7014,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
7015,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7016,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
7017,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
7018,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
7019,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7020,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),271,Non Cumulative
7021,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),289,Non Cumulative
7022,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
7023,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
7024,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),1300,Non Cumulative
7025,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1068,Non Cumulative
7026,2021-2022,5,August,8/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),522,Non Cumulative
7027,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),309,Non Cumulative
7028,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
7029,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7030,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7031,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
7032,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1068,Non Cumulative
7033,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
7034,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),277,Non Cumulative
7035,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,5998,As at
7036,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7037,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7038,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
7039,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1250,Non Cumulative
7040,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),523,Non Cumulative
7041,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),1300,Non Cumulative
7042,2021-2022,6,September,9/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
7043,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Contracted Power Capacity (kVA),1300,Non Cumulative
7044,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Square Footage,24020,As at
7045,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Power Consumption Rate (kVA),328,Non Cumulative
7046,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7047,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Contracted Power Capacity (kVA),1250,Non Cumulative
7048,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7049,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Contracted Power Capacity (kVA),5000,Non Cumulative
7050,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Power Consumption Rate (kVA),523,Non Cumulative
7051,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Square Footage,9233,As at
7052,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7053,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,Power Consumption Rate (kVA),277,Non Cumulative
7054,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Square Footage,13316,As at
7055,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1500,Non Cumulative
7056,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,Square Footage,5386,As at
7057,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7058,2021-2022,7,October,10/31/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1068,Non Cumulative
7059,2021-2022,8,November,11/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Barrie,Contracted Power Capacity (kVA),1500,Non Cumulative
7060,2021-2022,8,November,11/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Gatineau,Power Consumption Rate (kVA),1068,Non Cumulative
7061,2021-2022,8,November,11/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Montreal,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
7062,2021-2022,8,November,11/30/2021,Data Centre Services,Data Centre Facilities - Enterprise,EDC Borden,% of time SSC Enterprise Data Centres Facilities are available,100,Non Cumulative
